Video ID,Emotion_Percentages
_Jqi9k3tXoQ,"{'positive': 30.420445177246496, 'joy': 20.69249793899423, 'trust': 10.923330585325639, 'anticipation': 9.64550700741962, 'negative': 7.955482275350372, 'sadness': 5.276174773289365, 'surprise': 4.575432811211871, 'fear': 3.5861500412201153, 'anger': 3.503709810387469, 'disgust': 3.4212695795548225}"
_Zr3ObadDnI,"{'positive': 29.56502539191875, 'joy': 19.813056598218886, 'trust': 11.503643188341798, 'anticipation': 11.062044601457275, 'negative': 7.426216236108045, 'surprise': 5.424302642231544, 'sadness': 4.695664973872084, 'anger': 3.5990284831088544, 'fear': 3.5916685066607785, 'disgust': 3.31934937808199}"
aB7JCNRI3rY,"{'positive': 33.41957740405347, 'joy': 23.652436394997846, 'trust': 11.556705476498491, 'anticipation': 9.529969814575248, 'surprise': 5.735230702889176, 'negative': 4.808106942647693, 'sadness': 3.988788270806382, 'fear': 2.522639068564036, 'disgust': 2.414833980163864, 'anger': 2.3717119448037947}"
aTSgJgRnqG0,"{'positive': 28.34761321909425, 'joy': 20.416156670746634, 'anticipation': 12.15422276621787, 'trust': 9.583843329253366, 'negative': 8.127294981640148, 'surprise': 5.116279069767442, 'sadness': 4.406364749082008, 'fear': 4.026927784577723, 'disgust': 3.9167686658506726, 'anger': 3.90452876376989}"
eOfOrQJWeP0,"{'positive': 26.82634730538922, 'joy': 16.766467065868262, 'negative': 12.694610778443113, 'trust': 10.179640718562874, 'anticipation': 10.059880239520957, 'sadness': 5.868263473053893, 'anger': 5.389221556886228, 'fear': 4.191616766467066, 'disgust': 4.191616766467066, 'surprise': 3.8323353293413174}"
eyUs2JgrV9E,"{'positive': 29.5341295578581, 'joy': 23.09973898600016, 'trust': 11.967096416989637, 'anticipation': 10.499881357272798, 'surprise': 5.77790081468006, 'negative': 5.746262754093174, 'sadness': 4.931582693980859, 'fear': 3.2587202404492603, 'anger': 2.8118326346594955, 'disgust': 2.372854544016452}"
fsYZye1Ykao,"{'positive': 30.153683094859566, 'joy': 21.860095389507155, 'trust': 10.466348701642818, 'negative': 9.035506094329623, 'anticipation': 8.452570217276099, 'sadness': 6.359300476947535, 'surprise': 4.9814520402755695, 'fear': 2.9941706412294646, 'anger': 2.9146793852676205, 'disgust': 2.7821939586645468}"
gKUyX7cjum4,"{'positive': 33.05193246379131, 'joy': 24.569896775226056, 'trust': 10.334480275266063, 'anticipation': 9.238217172121308, 'negative': 5.665359686324718, 'surprise': 5.193246379130991, 'sadness': 3.964951588381212, 'fear': 3.080739377450588, 'anger': 2.5686164679523085, 'disgust': 2.332559814355445}"
gO_gm74yiUY,"{'positive': 28.662303784723814, 'joy': 21.193538053178344, 'trust': 11.57384101414123, 'anticipation': 10.475493112443367, 'negative': 7.917257791405427, 'surprise': 4.361356459658597, 'fear': 4.23321587112718, 'sadness': 4.0547343371012765, 'disgust': 3.7755709120864034, 'anger': 3.752688664134365}"
hJaXjItxL6w,"{'positive': 22.851465474416294, 'joy': 14.224209306176519, 'trust': 11.922503725782414, 'negative': 11.624441132637854, 'anticipation': 11.309819506540817, 'anger': 5.911574764033781, 'sadness': 5.895015731081306, 'disgust': 5.530717006126842, 'surprise': 5.431362808411989, 'fear': 5.298890544792184}"
